"Essential";"GTPase activating proteins (GAPs)";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";4;"G234234";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234235";"nucleus"
"Non-Essential";"Protein phosphatases";"Serine/threonine phoshpoprotein phosphatase";"Auxotrophies, carbon and";"PS00017";4;"G234240";"nucleus"
"Non-Essential";"Ubiquitin-system proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234248";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Carbohydrate and lipid biosynthesis defects";"PS00017";4;"G234259";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00028";4;"G234263";"nucleus"
"Non-Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234265";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";4;"G234270";"nucleus"
"Essential";"Other kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234271";"plasma membrane"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00028";4;"G234275";"nucleus"
"Non-Essential";"Histones";"Nucleosomal protein complex";"Cell cycle defects";"PS00357";4;"G234276";"nucleus"
"Non-Essential";"Histones";"Nucleosomal protein complex";"Auxotrophies, carbon and";"PS00014";4;"G234277";"nucleus"
"Non-Essential";"GTP-binding proteins";"Translocon";"Cell morphology and organelle mutants";"PS00017";4;"G234285";"ER"
"Non-Essential";"ATPases";"Respiration chain complexes";"Auxotrophies, carbon and";"PS00389";4;"G234286";"mitochondria"
"Non-Essential";"ATPases";"Respiration chain complexes";"Auxotrophies, carbon and";"PS00017";4;"G234290";"mitochondria"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00216";4;"G234293";"plasma membrane"
"Non-Essential";"GTP-binding proteins";"Translation complexes";"Cell morphology and organelle mutants";"PS00017";4;"G234296";"cytoplasm"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234300";"nucleus"
"Non-Essential";"Transcription factors";"RNA processing complexes";"Cell morphology and organelle mutants";"PS00028";4;"G234312";"nucleus"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00017";4;"G234317";"cytoskeleton"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00036";5;"G234323";"nucleus"
"Non-Essential";"GTP/GDP-exchange factors (GEFs)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";5;"G234326";"golgi"
"Essential";"ATPases";"Replication complexes";"Cell cycle defects";"PS00847";5;"G234330";"nucleus"
"Non-Essential";"Motorproteins";"Cytoskeleton";"Cell morphology and organelle mutants";"PS00017";5;"G234334";"nucleus"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";5;"G234341";"nucleus"
"Non-Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";5;"G234344";"golgi"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";5;"G234347";"nucleus"
"Non-Essential";"Ubiquitin-system proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";5;"G234359";"ER"
"Non-Essential";"Molecular chaperones";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00329";5;"G234360";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00017";5;"G234361";"nucleus"
"Essential";"Protein phosphatases";"Serine/threonine phoshpoprotein phosphatase";"Auxotrophies, carbon and";"PS00125";5;"G234368";"cytoplasm"
"Essential";"GTP/GDP dissociation inhibitors (GDIs)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";5;"G234369";"cytoplasm"
"Non-Essential";"Proteases";"Transcription complexes/Transcriptosome";"Nucleic acid metabolism defects";"PS00017";5;"G234371";"cytoplasm"
"Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Carbohydrate and lipid biosynthesis defects";"PS00017";6;"G234381";"plasma membrane"
"Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00017";6;"G234382";"nucleus"
"Essential";"GTP-binding proteins";"Cytoskeleton";"Cell morphology and organelle mutants";"PS00227";6;"G234392";"cytoskeleton"
"Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00017";6;"G234393";"golgi"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";6;"G234400";"cytoplasm"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00107";6;"G234402";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00038";6;"G234406";"nucleus"
"Non-Essential";"Protein Kinases";"Casein kinase";"Cell morphology and organelle mutants";"PS01101";7;"G234413";"nucleus"
"Essential";"ATPases";"Proteasome";"Cell cycle defects";"PS00017";7;"G234415";"nucleus"
"Non-Essential";"Ubiquitin-system proteins";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";7;"G234416";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";7;"G234418";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";7;"G234427";"nucleus"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Nucleic acid metabolism defects";"PS00017";7;"G234429";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS01119";7;"G234430";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";7;"G234437";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00686";7;"G234444";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00028";7;"G234445";"nucleus"
"Non-Essential";"ATPases";"H+-transporting ATPase, vacuolar";"Cell morphology and organelle mutants";"PS00017";7;"G234446";"vacuole"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00107";7;"G234448";"nucleus"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Sensitivity to aminoacid analogs and other drugs";"PS00044";7;"G234452";"plasma membrane"
"Non-Essential";"Protein Kinases";"Cytoskeleton";"Cell morphology and organelle mutants";"PS00017";7;"G234455";"cytoplasm"
"Non-Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";7;"G234458";"nucleus"
"Non-Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";7;"G234465";"plasma membrane"
"Non-Essential";"Ubiquitin-system proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";7;"G234468";"cytoplasm"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";7;"G234469";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";8;"G234486";"nucleus"
"Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Mating and sporulation defects";"PS00017";8;"G234495";"plasma membrane"
"Non-Essential";"Motorproteins";"Cytoskeleton";"Cell cycle defects";"PS00017";8;"G234497";"cytoskeleton"
"Non-Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";8;"G234505";"nucleus"
"Non-Essential";"Peptidyl-Prolyl-Isomerases";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";8;"G234509";"ER"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00013";8;"G234513";"ER"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00216";8;"G234516";"plasma membrane"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";8;"G234517";"plasma membrane"
"Non-Essential";"Protein Kinases";"Casein kinase";"Cell morphology and organelle mutants";"PS00107";8;"G234522";"plasma membrane"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";8;"G234523";"nucleus"
"Essential";"ATPases";"Replication complexes";"Cell cycle defects";"PS00017";8;"G234525";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Stress response defects";"PS00434";8;"G234529";"nucleus"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00446";9;"G234533";"nucleus"
"Non-Essential";"Protein Kinases";"Casein kinase";"Cell morphology and organelle mutants";"PS00107";9;"G234535";"nucleus"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";9;"G234538";"plasma membrane"
"Non-Essential";"GTPase activating proteins (GAPs)";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";9;"G234542";"nucleus"
"Essential";"ATPases";"RSC complex (Remodel the structure of chromatin)";"Auxotrophies, carbon and";"PS00633";9;"G234549";"nucleus"
"Essential";"ATPases";"Chaperonine containing T-complex TRiC (TCP RING Complex)";"Cell morphology and organelle mutants";"PS00750";9;"G234553";"cytoplasm"
"Essential";"Other kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";9;"G234554";"plasma membrane"
"Essential";"Polymerases";"Replication complexes";"Cell cycle defects";"PS00017";9;"G234562";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00036";9;"G234563";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";9;"G234564";"nucleus"
"Essential";"ATPases";"Chaperonine containing T-complex TRiC (TCP RING Complex)";"Cell cycle defects";"PS00751";10;"G234572";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00028";10;"G234575";"nucleus"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00017";10;"G234581";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00344";10;"G234586";"nucleus"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";10;"G234589";"plasma membrane"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";10;"G234591";"cytoplasm"
"Non-Essential";"Protein Kinases";"cAMP-dependent protein kinase";"Cell morphology and organelle mutants";"PS00107";10;"G234594";"cytoplasm"
"Non-Essential";"Adaptins";"Intracellular transport complexes";"Cell morphology and organelle mutants";"PS00867";10;"G234603";"transport vesicles"
"Essential";"Polymerases";"Replication complexes";"Cell cycle defects";"PS00017";10;"G234604";"nucleus"
"Non-Essential";"GTP/GDP-exchange factors (GEFs)";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";10;"G234606";"golgi"
"Essential";"ATPases";"Endonuclease SceI, mitochondrial";"Stress response defects";"PS00297";10;"G234610";"mitochondria"
"Non-Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS01030";10;"G234613";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00463";11;"G234630";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";11;"G234635";"nucleus"
"Essential";"Polymerases";"Replication complexes";"Mating and sporulation defects";"PS00017";11;"G234636";"nucleus"
"Essential";"Histones";"Kinetochore protein complexes";"Cell cycle defects";"PS00959";11;"G234638";"nucleus"
"Non-Essential";"Molecular chaperones";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00014";11;"G234640";"ER"
"Non-Essential";"ATPases";"H+-transporting ATPase, vacuolar";"Cell morphology and organelle mutants";"PS00017";11;"G234642";"vacuole"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";11;"G234644";"nucleus"
"Non-Essential";"Protein Kinases";"Cyclin-CDK (Cyclin-dependent kinases) complexes";"Conditional phenotypes";"PS00107";11;"G234652";"nucleus"
"Essential";"ATPases";"Proteasome";"Cell cycle defects";"PS00017";11;"G234654";"nucleus"
"Non-Essential";"GTP-binding proteins";"Translocon";"Auxotrophies, carbon and";"PS00017";11;"G234656";"ER"
"Non-Essential";"Protein Kinases";"cAMP-dependent protein kinase";"Cell morphology and organelle mutants";"PS00063";11;"G234659";"cytoplasm"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";11;"G234665";"peroxisome"
"Non-Essential";"Protein phosphatases";"Calcineurin B";"Cell morphology and organelle mutants";"PS00018";11;"G234666";"cytoplasm"
"Non-Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00017";11;"G234677";"golgi"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00344";11;"G234681";"nucleus"
"Non-Essential";"Motorproteins";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00017";11;"G234684";"nucleus"
"Non-Essential";"GTP-binding proteins";"Translation complexes";"Cell morphology and organelle mutants";"PS00017";11;"G234687";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00334";11;"G234692";"nucleus"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";12;"G234700";"cytoplasm"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";12;"G234702";"integral membrane"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00017";12;"G234715";"nucleus"
"Essential";"Unknown";"Translation complexes";"Cell morphology and organelle mutants";"PS01257";12;"G234716";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Nucleic acid metabolism defects";"PS00284";12;"G234722";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00028";12;"G234725";"nucleus"
"Essential";"Tubulins";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00227";12;"G234732";"cytoskeleton"
"Non-Essential";"Peptidyl-Prolyl-Isomerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";12;"G234733";"cytoplasm"
"Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";12;"G234735";"plasma membrane"
"Non-Essential";"Other kinases";"Unknown";"Cell morphology and organelle mutants";"PS00915";12;"G234737";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";12;"G234744";"nucleus"
"Essential";"ATPases";"Replication complexes";"Cell cycle defects";"PS00017";12;"G234746";"nucleus"
"Essential";"GTP/GDP-exchange factors (GEFs)";"Translation complexes";"Cell morphology and organelle mutants";"PS00017";12;"G234749";"cytoplasm"
"Essential";"GTP/GDP-exchange factors (GEFs)";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00720";12;"G234754";"plasma membrane"
"Non-Essential";"Molecular chaperones";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00297";12;"G234756";"mitochondria"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";12;"G234762";"nucleus"
"Non-Essential";"Protein phosphatases";"Calcineurin B";"Cell morphology and organelle mutants";"PS00017";12;"G234763";"cytoplasm"
"Non-Essential";"ATPases";"H+-transporting ATPase, vacuolar";"Cell morphology and organelle mutants";"PS00017";12;"G234764";"vacuole"
"Non-Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Mating and sporulation defects";"PS00017";12;"G234767";"plasma membrane"
"Non-Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";13;"G234768";"transport vesicles"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Nucleic acid metabolism defects";"PS00036";13;"G234769";"cytoplasm"
"Non-Essential";"Protein phosphatases";"Calcineurin B";"Mating and sporulation defects";"PS00125";13;"G234772";"cytoplasm"
"Essential";"GTP-binding proteins";"Cytoskeleton";"Cell morphology and organelle mutants";"PS00227";13;"G234779";"cytoskeleton"
"Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00107";13;"G234786";"nucleus"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00217";13;"G234787";"plasma membrane"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00463";13;"G234788";"nucleus"
"Non-Essential";"ATPases";"Proteases, mitochondrial";"Auxotrophies, carbon and";"PS00674";13;"G234804";"mitochondria"
"Non-Essential";"GTP-binding proteins";"Cytoskeleton";"Cell cycle defects";"PS00017";13;"G234811";"cytoskeleton"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Mating and sporulation defects";"PS00017";13;"G234812";"nucleus"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";13;"G234823";"cytoplasm"
"Non-Essential";"Cyclins";"Cyclin-CDK (Cyclin-dependent kinases) complexes";"Cell morphology and organelle mutants";"PS00017";13;"G234824";"cytoplasm"
"Non-Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00017";13;"G234829";"mitochondria"
"Essential";"GTPase activating proteins (GAPs)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";13;"G234830";"cytoplasm"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Stress response defects";"PS00017";13;"G234831";"plasma membrane"
"Non-Essential";"Motorproteins";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00017";13;"G234839";"cytoskeleton"
"Non-Essential";"Histones";"Nucleosomal protein complex";"Conditional phenotypes";"PS00047";14;"G234849";"nucleus"
"Non-Essential";"Histones";"Nucleosomal protein complex";"Nucleic acid metabolism defects";"PS00017";14;"G234850";"nucleus"
"Non-Essential";"Molecular chaperones";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00190";14;"G234854";"ER"
"Non-Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";14;"G234858";"golgi"
"Non-Essential";"GTP-binding proteins";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00017";14;"G234860";"plasma membrane"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00017";14;"G234862";"nucleus"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS01154";14;"G234863";"nucleus"
"Non-Essential";"Peptidyl-Prolyl-Isomerases";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00453";14;"G234865";"cytoplasm"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";14;"G234867";"nucleus"
"Non-Essential";"Protein Kinases";"Casein kinase";"Cell morphology and organelle mutants";"PS00108";14;"G234868";"plasma membrane"
"Non-Essential";"Molecular chaperones";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";14;"G234876";"cytoplasm"
"Non-Essential";"Proteases";"Transcription complexes/Transcriptosome";"Mating and sporulation defects";"PS00136";14;"G234878";"golgi"
"Non-Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";14;"G234880";"nucleus"
"Essential";"Other kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00915";14;"G234882";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";14;"G234890";"nucleus"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";14;"G234894";"nucleus"
